customer_key;customer_name;customer_type;gender;age;csp;city;country_key;phone;email;created_date_key
83;Jeannine Olivier de la Laporte;B2C;F;63;Indépendant;Yokohama;81;+33 5 47 90 08 42;danielleguillet@example.org;20190115
84;Édouard Ramos;B2C;F;47;Cadre;Birmingham;44;03 73 86 26 12;adupuis@example.net;20191017
85;Schmitt et Fils;B2B;M;39;Cadre;Barcelona;34;+33 (0)3 73 08 37 66;emonnier@example.org;20220811
86;Chantal du Rocher;B2C;M;65;Retraité;Naples;39;0354994147;ibouvet@example.com;20190606
87;Eugène Delattre-Le Roux;B2C;M;64;Cadre Supérieur;Munich;49;0564845457;frederic77@example.com;20231124
88;Hamon Dufour S.A.;B2B;F;36;Profession libérale;Paris;33;0485070991;michel03@example.net;20190607
89;Agnès-Valentine Fernandes;B2C;F;50;Cadre Supérieur;Paris;33;06 35 37 23 19;aallain@example.net;20220325
90;Christiane Schneider;B2C;F;54;Indépendant;Brasília;55;+33 (0)2 47 69 64 98;christianemeunier@example.org;20210526
91;Noémi Laurent;B2C;M;32;Profession libérale;Kolkata;91;02 22 92 99 86;louisjoly@example.net;20221026
92;Étienne Fournier;B2C;M;34;Profession libérale;Nagoya;81;0256338768;corinne45@example.net;20210525
93;Pénélope Bourdon-Joubert;B2C;F;34;Profession libérale;London;44;0636608504;henrileconte@example.com;20220613
94;Agnès Wagner;B2C;F;56;Cadre Supérieur;Toulouse;33;0290112439;odette87@example.org;20220826
95;Olivier-Thibaut Rolland;B2C;M;58;Cadre Supérieur;Bordeaux;33;+33 (0)4 56 49 23 99;xramos@example.com;20220821
96;Langlois;B2B;M;48;Entrepreneur;Chennai;91;+33 4 22 51 05 00;patricialeduc@example.org;20220406
97;Joséphine Guillet;B2C;M;19;Étudiant;London;44;01 69 60 58 43;icollin@example.org;20200616
98;Alphonse-Roger Parent;B2C;F;28;Employé;Turin;39;+33 (0)2 32 56 86 83;wbarbier@example.com;20230813
99;Antoine Albert;B2C;F;60;Retraité;Brasília;55;+33 2 33 60 91 72;david65@example.com;20240930
100;Frédéric Fournier;B2C;F;31;Entrepreneur;Rio de Janeiro;55;+33 1 43 44 02 14;dumontcapucine@example.net;20230430
101;Brigitte Rousseau;B2C;M;51;Indépendant;Glasgow;44;+33 2 41 12 10 15;laure68@example.org;20240308
102;Daniel Meyer;B2C;F;60;Cadre Supérieur;Leeds;44;+33 (0)6 31 46 95 47;qfaivre@example.com;20241116
103;Jean SA;B2B;F;50;Retraité;London;44;0633271529;louismichelle@example.com;20191027
104;Samson;B2B;F;43;Entrepreneur;Birmingham;44;+33 (0)4 93 05 93 20;vidalelisabeth@example.org;20200213
105;Roger Blanchard;B2C;F;53;Indépendant;Osaka;81;+33 2 49 49 73 47;christine87@example.org;20241206
106;Michelle Fleury;B2C;M;67;Cadre Supérieur;Seville;34;+33 (0)5 57 27 66 77;jacques51@example.net;20220822
107;Alice Parent;B2C;M;34;Entrepreneur;Brasília;55;02 35 82 47 38;victoirelelievre@example.org;20200901
108;Richard Maillard;B2C;M;33;Entrepreneur;Guangzhou;86;02 53 69 67 33;emmanuel56@example.org;20210805
109;Delorme;B2B;M;68;Indépendant;São Paulo;55;+33 (0)4 34 14 83 08;brianddanielle@example.org;20200305
110;Baudry Laurent S.A.;B2B;F;59;Indépendant;Fortaleza;55;+33 (0)5 53 88 25 88;aimetraore@example.com;20211103
111;Nathalie Grégoire;B2C;M;44;Entrepreneur;Tokyo;81;+33 6 31 55 40 98;alice60@example.net;20190110
112;Claire Guichard;B2C;F;49;Entrepreneur;Cologne;49;02 99 30 74 30;ndidier@example.net;20230608
113;Robert Delmas;B2C;F;28;Commerçant;Munich;49;+33 5 31 63 78 87;caronamelie@example.net;20220513
114;Alain Garcia;B2C;F;37;Cadre;Toulouse;33;0254316238;auguste99@example.org;20230330
115;Juliette Michel-Roger;B2C;M;53;Indépendant;Rome;39;+33 3 44 56 11 68;guybonnet@example.com;20240101
116;Brunel S.A.S.;B2B;F;57;Cadre Supérieur;Nagoya;81;07 94 01 97 43;susanne23@example.net;20220316
117;Henriette-Denise Seguin;B2C;M;21;Technicien;London;44;0247981148;tmeunier@example.com;20200331
118;Gérard-Gabriel Dubois;B2C;F;69;Cadre Supérieur;Marseille;33;01 82 78 95 14;auguste16@example.com;20230121
119;Louise Robert;B2C;F;22;Technicien;Chicago;1;0699349312;zpages@example.net;20210729
120;Thierry du Lopes;B2C;M;58;Indépendant;Brasília;55;0249293788;frederic50@example.org;20240125
121;Timothée de la Olivier;B2C;F;64;Retraité;Munich;49;0519503315;lcolas@example.net;20190617
122;Laporte Lesage S.A.R.L.;B2B;F;70;Cadre Supérieur;Turin;39;+33 4 50 62 91 30;julienbenjamin@example.com;20240821
123;Édith-Andrée Pascal;B2C;M;25;Employé;Leeds;44;04 73 60 45 90;guilloumathilde@example.net;20210601
124;Zoé Roger;B2C;M;18;Étudiant;Kolkata;91;+33 (0)3 44 23 97 45;osanchez@example.org;20231029
125;Renée Roy;B2C;M;67;Indépendant;Bilbao;34;+33 2 31 50 69 92;agnes87@example.com;20210525
126;Capucine Leclercq;B2C;M;20;Commerçant;Shanghai;86;+33 5 94 24 70 82;elodiegomez@example.org;20240221
127;Adam;B2B;M;20;Employé;Fortaleza;55;+33 (0)3 23 38 85 31;toussaintadele@example.com;20240518
128;Baudry SARL;B2B;M;33;Cadre;Bangalore;91;03 63 48 29 36;sebastien23@example.org;20240410
129;Samson et Fils;B2B;M;36;Entrepreneur;Phoenix;1;+33 4 91 81 36 14;jeannine94@example.com;20230723
130;Anaïs Pottier;B2C;F;44;Profession libérale;Salvador;55;+33 (0)6 95 68 70 31;louis44@example.net;20230927
131;Manon de la Adam;B2C;M;20;Commerçant;Manchester;44;0252427910;timothee31@example.com;20210131
132;Benjamin Gillet;B2C;F;66;Retraité;Leeds;44;0153521875;ericboucher@example.org;20211126
133;Lucas Lenoir;B2C;F;52;Indépendant;Tokyo;81;04 66 28 37 41;sruiz@example.net;20230513
134;Stéphanie Gilbert;B2C;M;36;Entrepreneur;Bordeaux;33;0231464228;michellebernard@example.com;20190304
135;Zoé Lambert;B2C;M;42;Profession libérale;Birmingham;44;0536153483;philippearnaude@example.org;20240721
136;Zoé Rolland;B2C;M;54;Indépendant;Berlin;49;01 73 21 42 98;kleclerc@example.net;20190422
137;Monique Muller;B2C;M;25;Technicien;Guangzhou;86;+33 (0)3 54 44 16 83;colettetessier@example.com;20240314
138;Pineau Peltier SARL;B2B;F;25;Commerçant;Houston;1;03 73 85 05 71;raynaudmanon@example.org;20240317
139;Arthur Boucher;B2C;F;70;Cadre Supérieur;Turin;39;0495989199;sleleu@example.org;20240318
140;Madeleine Besnard;B2C;M;63;Cadre Supérieur;Beijing;86;+33 (0)5 62 79 77 06;rioumathilde@example.net;20221002
141;Claude Richard;B2C;F;41;Profession libérale;Glasgow;44;0353834838;vantoine@example.org;20220810
142;Capucine Dubois de Arnaud;B2C;F;21;Commerçant;Shanghai;86;+33 (0)6 37 22 18 59;zfouquet@example.com;20190612
143;Lucie Guillaume;B2C;F;42;Cadre;Delhi;91;03 67 31 87 64;martelfranck@example.com;20200811
144;Xavier Cordier;B2C;F;24;Technicien;Fortaleza;55;+33 2 62 62 45 37;pichoneric@example.com;20241120
145;Nathalie de la Guyon;B2C;F;21;Commerçant;São Paulo;55;+33 5 62 89 65 19;qbecker@example.org;20200523
146;Lucas Letellier;B2C;M;66;Retraité;London;44;+33 1 39 56 92 63;mvalette@example.net;20190330
147;Françoise Lebon;B2C;M;53;Retraité;Valencia;34;+33 2 98 55 43 52;gregoire24@example.com;20220107
148;Susanne Gilles;B2C;F;50;Indépendant;Rio de Janeiro;55;+33 4 37 96 15 54;arthurbonneau@example.net;20240618
149;Roy Cousin SA;B2B;F;39;Profession libérale;Bilbao;34;+33 (0)4 56 00 93 86;mathieuguy@example.net;20201231
150;Hugues Chrétien;B2C;F;21;Employé;Paris;33;+33 (0)4 49 15 36 47;thierrycarpentier@example.net;20220815
151;Adrien Hubert de Clerc;B2C;F;69;Cadre Supérieur;Delhi;91;03 20 76 87 19;blanchardmarie@example.net;20200821
152;Joséphine-Hélène Loiseau;B2C;F;31;Cadre;Nagoya;81;0362235632;alexandrie12@example.com;20220302
153;Noémi Ferrand de la Roussel;B2C;F;28;Technicien;Bilbao;34;+33 2 46 10 33 69;pineauvincent@example.com;20230426
154;Édith Robin;B2C;F;67;Indépendant;Manchester;44;0443830389;farnaud@example.com;20210906
155;Joseph;B2B;M;55;Retraité;Manchester;44;03 87 51 14 53;charpentierjules@example.org;20201202
156;Michèle Masson Le Cousin;B2C;M;31;Profession libérale;Los Angeles;1;0517362622;ahernandez@example.org;20211202
157;Adrien Delorme-Dupuis;B2C;M;53;Cadre Supérieur;Houston;1;0450801994;njoly@example.net;20230516
158;Margot Peltier;B2C;M;52;Cadre Supérieur;Osaka;81;+33 1 39 32 41 48;theophile98@example.com;20240430
159;Astrid Olivier;B2C;F;24;Commerçant;Hamburg;49;+33 5 24 61 60 42;jparis@example.net;20200824
160;Bernard Grenier;B2C;F;58;Retraité;Toulouse;33;0497097640;denis22@example.org;20210627
161;Boulay;B2B;F;47;Cadre;London;44;+33 6 32 15 64 65;aime34@example.net;20191015
162;Corinne du Allard;B2C;F;56;Retraité;Los Angeles;1;+33 (0)2 34 58 64 10;aureliegillet@example.net;20241213
163;Henriette du Dias;B2C;M;40;Cadre;Chennai;91;+33 (0)3 58 95 03 13;caroline12@example.com;20190422
164;Martine De Oliveira;B2C;M;70;Retraité;Chennai;91;+33 (0)2 78 13 57 00;reneeboyer@example.org;20210124
165;Inès Samson;B2C;M;58;Retraité;Chennai;91;02 62 83 66 58;clemencegaillard@example.org;20230602
166;David Tessier;B2C;M;24;Employé;Frankfurt;49;0214222785;imarie@example.com;20201003
167;Édith du Auger;B2C;F;66;Cadre Supérieur;Madrid;34;+33 (0)2 33 27 18 46;ngomez@example.com;20210609
168;Juliette Aubry;B2C;M;27;Employé;Birmingham;44;0164355770;acaron@example.com;20230409
169;Dorothée Thierry;B2C;M;28;Employé;Los Angeles;1;0432618094;alexandrie73@example.net;20230317
170;Benoît Jacob;B2C;F;66;Indépendant;Los Angeles;1;05 16 38 42 50;adelaidevaillant@example.net;20220914
171;Lemaître et Fils;B2B;M;52;Retraité;Chicago;1;+33 4 57 00 17 74;charlesmarcelle@example.net;20241225
172;Émilie Rivière de la De Sousa;B2C;F;53;Indépendant;Munich;49;03 65 97 95 10;remy72@example.net;20190125
173;Jérôme-Rémy Bonnet;B2C;F;51;Indépendant;Rio de Janeiro;55;+33 7 87 16 22 89;noeldenise@example.net;20240724
174;Perrin;B2B;M;45;Entrepreneur;Turin;39;+33 (0)4 69 01 49 84;laurelemaire@example.net;20221124
175;Denis Dias;B2C;M;41;Entrepreneur;Naples;39;0389616626;mauricegaudin@example.org;20220110
176;Jeannine Legendre;B2C;F;45;Entrepreneur;Salvador;55;+33 (0)2 45 59 96 39;alvesalfred@example.com;20200206
177;Godard;B2B;M;60;Indépendant;Chengdu;86;0175406064;clairelefort@example.org;20240806
178;Luc Pottier;B2C;F;58;Indépendant;Seville;34;+33 (0)5 94 81 25 60;mboyer@example.org;20210213
179;Émilie Gros;B2C;M;63;Cadre Supérieur;Nagoya;81;+33 4 95 99 50 91;omartin@example.com;20211008
180;Laporte SA;B2B;F;50;Cadre Supérieur;Bilbao;34;0484911639;xleclercq@example.org;20230401
181;Nicole Berger;B2C;F;29;Technicien;Guangzhou;86;04 50 19 54 55;adrienne76@example.com;20210826
182;Jules Fournier;B2C;F;36;Cadre;São Paulo;55;0517639868;andree06@example.com;20200524
183;Antoine Bodin;B2C;M;31;Entrepreneur;Bangalore;91;02 45 19 18 72;xberger@example.org;20230126
184;Émile de Fleury;B2C;F;47;Entrepreneur;Munich;49;+33 1 64 43 11 20;anaismuller@example.net;20200723
185;Arnaude François;B2C;F;26;Employé;Rome;39;+33 3 24 13 29 28;eparis@example.org;20190422
186;Margaux-Laurence Mary;B2C;M;35;Profession libérale;Cologne;49;01 80 95 34 51;honore39@example.org;20210703
187;David Charrier;B2C;F;39;Entrepreneur;Barcelona;34;+33 3 57 97 33 39;genevievemaurice@example.com;20230712
188;Benjamin Weber;B2C;M;45;Profession libérale;São Paulo;55;+33 (0)1 82 94 30 08;brigittepicard@example.net;20240611
189;Colette Guilbert;B2C;M;55;Indépendant;Bangalore;91;+33 5 56 53 65 49;xloiseau@example.com;20230910
190;Faure Bazin S.A.;B2B;M;53;Cadre Supérieur;São Paulo;55;0365882485;aurelieboutin@example.com;20200715
191;Émilie Riou;B2C;F;51;Retraité;Barcelona;34;04 70 34 76 55;chevaliermonique@example.org;20190713
192;Barbe S.A.;B2B;F;70;Indépendant;Valencia;34;+33 (0)6 31 04 43 32;alice53@example.org;20221230
193;Daniel;B2B;F;46;Entrepreneur;São Paulo;55;+33 4 90 83 08 30;cordierdavid@example.org;20231011
194;Margaret-Diane Nicolas;B2C;M;29;Employé;Hamburg;49;+33 (0)6 34 11 63 17;kleclercq@example.net;20240430
195;Marie Leblanc-Colin;B2C;M;60;Indépendant;New York;1;03 84 58 68 40;guilletremy@example.org;20210610
196;Christiane Legendre;B2C;F;41;Cadre;Marseille;33;+33 (0)4 81 72 85 57;arnaude62@example.org;20230805
197;Marthe Perrin;B2C;M;52;Retraité;Milan;39;+33 (0)3 24 69 37 86;philippedos-santos@example.org;20200430
198;Marc Guichard;B2C;F;20;Technicien;Madrid;34;05 45 57 92 29;marianne41@example.org;20220821
199;Matthieu Gautier;B2C;M;22;Technicien;Shenzhen;86;+33 3 28 34 10 79;constance48@example.net;20210108
200;Anaïs Jacques;B2C;F;51;Cadre Supérieur;Phoenix;1;+33 (0)1 83 12 35 53;margot59@example.org;20200813
201;Arthur Humbert;B2C;F;62;Indépendant;Glasgow;44;0229612796;nicolastanguy@example.com;20201006
202;Aimé Dufour;B2C;M;27;Technicien;Chengdu;86;06 33 09 06 57;baillymonique@example.com;20191109
203;Dos Santos S.A.;B2B;M;19;Étudiant;Hamburg;49;0325967996;ledouxmarthe@example.org;20221115
204;Claire de Lebreton;B2C;F;57;Cadre Supérieur;Osaka;81;02 58 81 64 39;nicole65@example.net;20221214
205;Victor Lenoir;B2C;F;61;Retraité;Mumbai;91;06 00 26 82 60;oliviefouquet@example.com;20190221
206;Yves Cordier;B2C;F;55;Indépendant;Naples;39;05 55 65 31 42;elebreton@example.net;20230713
207;Yves Michaud;B2C;F;64;Indépendant;Bordeaux;33;0388284420;bonnineric@example.org;20190420
208;Chantal Muller;B2C;M;61;Cadre Supérieur;Marseille;33;+33 (0)4 90 65 14 69;maryse37@example.org;20210819
209;Marc Riou;B2C;F;20;Employé;Paris;33;+33 (0)3 83 61 26 75;jnavarro@example.com;20201126
210;Rémy Garcia;B2C;F;22;Technicien;Chennai;91;+33 2 52 01 50 23;arenaud@example.org;20231013
211;Thibault Bernier;B2C;M;58;Retraité;Brasília;55;+33 4 94 37 04 27;scouturier@example.org;20210509
212;Gilbert Denis;B2C;M;70;Retraité;Barcelona;34;+33 2 46 40 51 74;delaunaymichelle@example.org;20200119
213;Marin;B2B;M;23;Employé;São Paulo;55;0497679225;tleveque@example.net;20190802
214;Laine;B2B;F;46;Cadre;Madrid;34;+33 2 90 12 32 65;carolineberger@example.org;20201217
215;Fischer;B2B;F;28;Employé;Rio de Janeiro;55;+33 1 43 98 23 08;sdupuis@example.com;20240624
216;Daniel Jacquet;B2C;F;60;Retraité;Toulouse;33;0476950507;francoise52@example.com;20240308
217;Diane Barthelemy;B2C;M;33;Profession libérale;Shanghai;86;03 67 32 90 45;qdavid@example.com;20240328
218;Jeanne Ollivier de Faure;B2C;F;26;Commerçant;Kolkata;91;+33 6 52 07 29 60;lucy96@example.net;20210525
219;Jean Poulain-Pineau;B2C;M;41;Profession libérale;Frankfurt;49;+33 (0)2 28 25 83 92;josetteleconte@example.net;20210501
220;Bertrand Lucas;B2C;M;62;Indépendant;Bangalore;91;+33 2 31 04 34 27;marintimothee@example.org;20200924
221;Mathilde Lucas de De Oliveira;B2C;F;55;Indépendant;Chengdu;86;01 43 93 40 76;luce22@example.org;20200609
222;Simone Grondin-Michaud;B2C;M;46;Entrepreneur;Seville;34;+33 2 50 42 69 27;placombe@example.org;20220616
223;Julien Pages;B2C;M;42;Entrepreneur;Palermo;39;+33 4 77 13 94 77;anoukmallet@example.net;20211203
224;Honoré Morin-Marques;B2C;M;34;Entrepreneur;Yokohama;81;+33 2 23 30 90 16;chevallierelise@example.org;20230920
225;Richard Ruiz;B2C;F;37;Entrepreneur;Naples;39;+33 4 30 98 84 06;aime72@example.org;20220119
226;Susanne Guibert;B2C;M;20;Technicien;São Paulo;55;+33 (0)4 67 26 96 55;arnaudaudrey@example.net;20210608
227;Lacroix;B2B;F;67;Retraité;Phoenix;1;+33 1 30 40 23 39;laurencemathieu@example.net;20191222
228;Roland Simon;B2C;F;20;Technicien;Lyon;33;0699008010;aurore39@example.net;20210227
229;Lucie Joly;B2C;F;53;Cadre Supérieur;Birmingham;44;0458151229;hgodard@example.org;20200913
230;Arnaude Jacquot;B2C;M;45;Cadre;Salvador;55;0545013501;aureliecourtois@example.com;20240401
231;Pénélope Regnier;B2C;F;64;Retraité;Valencia;34;+33 2 55 17 06 15;philippine89@example.org;20230720
232;Nath Brunel;B2C;F;49;Entrepreneur;Los Angeles;1;+33 (0)3 62 63 79 21;hcaron@example.net;20230228
233;Philippe Martinez;B2C;M;44;Entrepreneur;Guangzhou;86;+33 4 67 78 49 52;philippineandre@example.org;20200807
234;Robert Delannoy;B2C;M;33;Entrepreneur;Seville;34;+33 (0)5 53 72 32 89;alainpierre@example.org;20200422
235;Pereira;B2B;M;52;Retraité;Madrid;34;+33 (0)3 55 25 54 44;theophile07@example.com;20200813
236;William-Alfred Guilbert;B2C;F;28;Employé;Naples;39;+33 (0)1 30 71 21 47;madeleine79@example.net;20201010
